Name,Full Name,Stars,Status,Weight Status,Conference,Conference Year,arXiv ID,Last Checked,Status Changed,URL,Description
MuseTalk,TMElyralab/MuseTalk,5167,has_weights,HF,,,2410.10122,2026-01-10,2026-01-09,https://github.com/TMElyralab/MuseTalk,MuseTalk: Real-Time High Quality Lip Synchorization with Latent Space Inpainting
clarity-upscaler,philz1337x/clarity-upscaler,4937,no_weights,None,,,,2026-01-10,2026-01-09,https://github.com/philz1337x/clarity-upscaler,Clarity AI | AI Image Upscaler & Enhancer - free and open-source Magnific Alternative
ComfyUI-SUPIR,kijai/ComfyUI-SUPIR,2201,has_weights,HF,,,,2026-01-10,2026-01-09,https://github.com/kijai/ComfyUI-SUPIR,SUPIR upscaling wrapper for ComfyUI
InstructIR,mv-lab/InstructIR,695,has_weights,HF,ECCV,2024,2401.16468,2026-01-10,2026-01-09,https://github.com/mv-lab/InstructIR,[ECCV 2024] InstructIR: High-Quality Image Restoration Following Human Instructions https://huggingface.co/spaces/marcosv/InstructIR
DocRes,ZZZHANG-jx/DocRes,546,has_weights,HF,CVPR,2024,2405.04408,2026-01-10,2026-01-09,https://github.com/ZZZHANG-jx/DocRes,[CVPR 2024] DocRes: A Generalist Model Toward Unifying Document Image Restoration Tasks
BIRD,hamadichihaoui/BIRD,281,has_weights,Cloud,,,2405.19572,2026-01-10,2026-01-09,https://github.com/hamadichihaoui/BIRD,"This is the official implementation of ""Blind Image Restoration via Fast Diffusion Inversion"""
DarkIR,cidautai/DarkIR,276,has_weights,HF,CVPR,2025,2412.13443,2026-01-10,2026-01-09,https://github.com/cidautai/DarkIR,CVPR 2025 DarkIR: Robust Low-Light Image Restoration - State of the art low light deblurring. NTIRE 2025 Best Method. [Official PyTorch Implementation
ConvIR,c-yn/ConvIR,143,has_weights,Cloud,,,,2026-01-10,2026-01-09,https://github.com/c-yn/ConvIR,Revitalizing Convolutional Network for Image Restoration
UltraZoom,andrewdalpino/UltraZoom,11,has_weights,HF,ICLR,,,2026-01-09,2026-01-09,https://github.com/andrewdalpino/UltraZoom,A fast single image super-resolution (SISR) model for upscaling images with ultra high-quality.
DeblurDiff,kkkls/DeblurDiff,45,has_weights,Cloud,NeurIPS,2025,2502.03810,2026-01-10,2026-01-09,https://github.com/kkkls/DeblurDiff,[NeurIPS 2025] DeblurDiff: Real-World Image Deblurring with Generative Diffusion Models
AdaIR,c-yn/AdaIR,203,has_weights,Cloud,ICLR,,,2026-01-10,2026-01-09,https://github.com/c-yn/AdaIR,[ICLR'25] AdaIR: Adaptive All-in-One Image Restoration via Frequency Mining and Modulation
FDN-TIP2025,Jabruson/FDN-TIP2025,23,has_weights,Cloud,,,,2026-01-10,2026-01-09,https://github.com/Jabruson/FDN-TIP2025,"Official code of ""Fourier-based Decoupling Network for Joint Low-Light Image Enhancement and Deblurring""( IEEE TIP 2025 )"
JarvisIR,LYL1015/JarvisIR,249,has_weights,HF,CVPR,2025,,2026-01-10,2026-01-09,https://github.com/LYL1015/JarvisIR,[CVPR‘ 2025 ] JarvisIR: Elevating Autonomous Driving Perception with Intelligent Image Restoration
Turtle,Ascend-Research/Turtle,120,has_weights,Cloud,NeurIPS,2024,2410.03936,2026-01-10,2026-01-09,https://github.com/Ascend-Research/Turtle,[ NeurIPS 2024 ] The official PyTorch implementation for Learning Truncated Causal History Model for Video Restoration.
ComfyUI_LucidFlux,smthemex/ComfyUI_LucidFlux,57,has_weights,HF,,,,2026-01-10,2026-01-09,https://github.com/smthemex/ComfyUI_LucidFlux, LucidFlux: Caption-Free Universal Image Restoration with a Large-Scale Diffusion Transformer，you can use it in ComfyUI
ComfyUI-SeedVR2_VideoUpscaler,numz/ComfyUI-SeedVR2_VideoUpscaler,1797,has_weights,HF,,,,2026-01-10,2026-01-09,https://github.com/numz/ComfyUI-SeedVR2_VideoUpscaler,Official SeedVR2 Video Upscaler for ComfyUI
